domain,target,method,evaluation,records,DOI_groups,R2,R2_CI_low,R2_CI_high,MAE,MAE_CI_low,MAE_CI_high,RMSE,RMSE_CI_low,RMSE_CI_high,bias,bias_CI_low,bias_CI_high
Mixed Pb-Sn,FF,Convex mixture,Device-level,98,25,-0.2083490494053819,-0.9313177699153052,0.11902512190155885,6.801173367062426,5.474654206324484,8.418740204842212,8.332525214035044,6.831222104437795,9.911158825204298,-3.7209236293454566,-5.934851680892027,-1.5060218477627378
Mixed Pb-Sn,FF,Convex mixture,Publication-balanced,98,25,-0.48880954568986335,-1.68619052862012,0.06339255441974768,7.345665018311634,5.751954306670338,9.039215125596005,8.863379746181293,7.031798985536936,10.583271422345609,-5.072892577502789,-7.4055518071041275,-2.716156324575701
Mixed Pb-Sn,PCE,Development-selected policy,Device-level,98,25,-0.013036840511875258,-0.5201520893262238,0.16072251160913784,3.7836488192112565,2.9396222884138665,4.807060881543815,4.674871030702866,3.5542322667529094,5.854884114104129,-1.4478591667065148,-2.927360196928656,-0.12955183253952463
Mixed Pb-Sn,PCE,Development-selected policy,Publication-balanced,98,25,-0.07542819340883433,-0.759325778419656,0.20382515395990294,3.838381877222493,3.0281673054650105,4.731895840819447,4.633906634248185,3.713772662977627,5.506057076901572,-2.321479025078958,-3.56768443286469,-1.0841162158721414
Mixed Pb-Sn,Voc,Development-selected policy,Device-level,98,25,-0.018954166852521714,-0.4159009118402737,0.2449642161519475,0.10650171365703459,0.06597237642349973,0.15068270607652284,0.153804114120431,0.09443118678530645,0.20185904015914527,0.041634678487141655,-0.0012292158109572357,0.08575648214628707
Mixed Pb-Sn,Voc,Development-selected policy,Publication-balanced,98,25,0.00446583128171929,-0.675687934109355,0.27839655512494993,0.10253927390310506,0.06899409227821446,0.1403160020407056,0.14596124073301223,0.09877264143272838,0.18691064601045362,0.030099723356338197,-0.018260386094599484,0.07762384649259933
Mixed Pb-Sn,Jsc,Development-selected policy,Device-level,98,25,-0.09069141315632656,-2.5781169989967956,0.1662840792237802,4.989899573985093,3.8674099049154216,6.5113008318772385,6.272316757486432,4.484614773023871,8.472012004252397,-2.8047886580132024,-4.656829905294669,-0.7070766665610836
Mixed Pb-Sn,Jsc,Development-selected policy,Publication-balanced,98,25,-0.44112101718404206,-3.1164145151495837,0.05378582271823329,4.962298045034232,3.965488893427769,6.041266213000758,5.95001163766712,4.69763912008682,7.2509280094393125,-3.817893080615322,-5.238651202190354,-2.425758388425945
Mixed Pb-Sn,FF,Development-selected policy,Device-level,98,25,-0.2083490494053819,-1.0860499915351922,0.1359013878096008,6.801173367062426,5.3746914454492805,8.447482901771615,8.332525214035044,6.619593019629951,10.066420735371617,-3.7209236293454566,-6.037493542607913,-1.5345956018085798
Mixed Pb-Sn,FF,Development-selected policy,Publication-balanced,98,25,-0.48880954568986335,-1.6911602621644,0.07982130068246363,7.345665018311634,5.780217611396444,8.891040260103855,8.863379746181293,7.086980985036085,10.384329745591979,-5.072892577502789,-7.4034056492292954,-2.846327516379574
