stratum,domain,target,method,records,DOI_groups,R2,MAE,RMSE,bias,inferential_status
Feature OOD >95th percentile,Sn-only,Voc,Domain expert,79,22,-0.058322426445714504,0.11774553766286057,0.14058501519106267,-0.06348413942042654,supported
Feature OOD >95th percentile,Sn-only,Jsc,Domain expert,79,22,0.030339853878718293,5.74161518987171,7.056198662408068,-2.029794999724195,supported
Feature OOD >95th percentile,Sn-only,FF,Domain expert,79,22,0.21615712921201646,10.225005780923068,11.887772604713334,-0.5266159448313495,supported
Feature OOD >95th percentile,Sn-only,PCE,Convex mixture,79,22,0.2181150538774389,1.9729007433389791,2.4793818260749747,-0.9563431336093039,supported
Feature OOD >95th percentile,Sn-only,Voc,Convex mixture,79,22,-0.08610200705549231,0.11158997373570241,0.1424181502222568,-0.060739697173175754,supported
Feature OOD >95th percentile,Sn-only,Jsc,Convex mixture,79,22,0.016175455982703202,5.424282338889048,7.107548845333351,-1.9669521370774654,supported
Feature OOD >95th percentile,Sn-only,FF,Convex mixture,79,22,0.3408854135974906,9.259854838084093,10.901002623168537,-0.9361855573626005,supported
Feature OOD >95th percentile,Sn-only,PCE,Development-selected policy,79,22,0.2181150538774389,1.9729007433389791,2.4793818260749747,-0.9563431336093039,supported
Feature OOD >95th percentile,Sn-only,Voc,Development-selected policy,79,22,-0.08610200705549231,0.11158997373570241,0.1424181502222568,-0.060739697173175754,supported
Feature OOD >95th percentile,Sn-only,Jsc,Development-selected policy,79,22,0.016175455982703202,5.424282338889048,7.107548845333351,-1.9669521370774654,supported
Feature OOD >95th percentile,Sn-only,FF,Development-selected policy,79,22,0.3408854135974906,9.259854838084093,10.901002623168537,-0.9361855573626005,supported
Feature OOD >95th percentile,Mixed Pb-Sn,PCE,Frozen global,18,9,0.2561965630792856,3.048470956370145,3.530237842335647,-1.8302868574424538,descriptive only
Feature OOD >95th percentile,Mixed Pb-Sn,Voc,Frozen global,18,9,-0.7914494209952501,0.1338470603674419,0.16803829922683153,0.09724425929015099,descriptive only
Feature OOD >95th percentile,Mixed Pb-Sn,Jsc,Frozen global,18,9,-2.4038930298184122,5.14694066164866,6.010250970139875,-5.037605153875272,descriptive only
Feature OOD >95th percentile,Mixed Pb-Sn,FF,Frozen global,18,9,-0.3654276672418011,7.860828587633382,9.310112307222411,-6.413296378932284,descriptive only
Feature OOD >95th percentile,Mixed Pb-Sn,PCE,Subgroup calibrator,18,9,0.2561965630792856,3.048470956370145,3.530237842335647,-1.8302868574424538,descriptive only
Feature OOD >95th percentile,Mixed Pb-Sn,Voc,Subgroup calibrator,18,9,-0.7914494209952501,0.1338470603674419,0.16803829922683153,0.09724425929015099,descriptive only
