comparison_type,target,unit,domain_type,domain,comparison,metric,estimate,CI_low,CI_high,CI_excludes_zero,domain_DOI,reference_DOI,inferential_eligible
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb+Sn,chronological - DOI-grouped,R2,2.1746231786468693,2.174623178646863,2.1746231786468693,True,1,1,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb+Sn,chronological - DOI-grouped,mean_feature_OOD_percentile,0.011549503434041264,0.011549503434041264,0.011549503434041375,True,1,1,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb+Sn,chronological - DOI-grouped,high_feature_OOD_fraction,0.0,0.0,0.0,False,1,1,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb+Sn,chronological - DOI-grouped,coverage_90,0.0,0.0,0.0,False,1,1,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb+Sn,chronological - DOI-grouped,interval_90_mean_width,0.09774036462154712,0.09774036462154712,0.09774036462154712,True,1,1,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Sn (no Pb),chronological - DOI-grouped,MAE,0.2617215026156514,0.027501054433122674,0.49594195079818004,True,2,2,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Sn (no Pb),chronological - DOI-grouped,bias,0.2659699822501577,-0.10388405537554601,0.6358240198758616,False,2,2,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Sn (no Pb),chronological - DOI-grouped,RMSE,0.21197637898493515,0.08406931205186896,0.442055979243722,True,2,2,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Sn (no Pb),chronological - DOI-grouped,R2,-0.3205699419740482,-1.5651381503014674,-0.09187543249906915,True,2,2,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Sn (no Pb),chronological - DOI-grouped,mean_feature_OOD_percentile,0.008431461253454398,-0.0018518011506378773,0.018714723657546894,False,2,2,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Sn (no Pb),chronological - DOI-grouped,high_feature_OOD_fraction,0.0,0.0,0.0,False,2,2,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Sn (no Pb),chronological - DOI-grouped,coverage_90,0.0,0.0,0.0,False,2,2,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Sn (no Pb),chronological - DOI-grouped,interval_90_mean_width,3.367810092336857,1.653290782940716,5.0823294017329985,True,2,2,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,FA (no MA/Cs) / Pb (no Sn),chronological - DOI-grouped,MAE,-0.22474371417666772,-0.6041641741558211,0.1607496233800723,False,41,41,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,FA (no MA/Cs) / Pb (no Sn),chronological - DOI-grouped,bias,-0.8694458871646727,-1.1861757401934223,-0.511370397865006,True,41,41,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,FA (no MA/Cs) / Pb (no Sn),chronological - DOI-grouped,RMSE,-0.10981253513577727,-0.48723172790298597,0.261217095850991,False,41,41,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,FA (no MA/Cs) / Pb (no Sn),chronological - DOI-grouped,R2,0.03763529444038405,-0.0921861680611079,0.17220681298490062,False,41,41,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,FA (no MA/Cs) / Pb (no Sn),chronological - DOI-grouped,mean_feature_OOD_percentile,0.033359832734851214,-0.0031299578173721557,0.06980706107762058,False,41,41,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,FA (no MA/Cs) / Pb (no Sn),chronological - DOI-grouped,high_feature_OOD_fraction,-0.008130081300812997,-0.06099107458465889,0.033333333333333326,False,41,41,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,FA (no MA/Cs) / Pb (no Sn),chronological - DOI-grouped,coverage_90,0.0197154471544716,-0.0037546296296296603,0.04607948986722567,False,41,41,True
